"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"20-May-2025","EQ","8,850.00","8,850.00","8,526.50","8,851.00","8,600.00","8,565.00","8,686.75","12,774.00","7,089.35","4,49,936","3,90,84,82,935.00","64,413"
"19-May-2025","EQ","8,500.00","8,861.50","8,492.00","8,482.50","8,830.00","8,851.00","8,776.13","12,774.00","7,089.35","8,58,221","7,53,18,62,318.50","79,088"
"16-May-2025","EQ","8,350.00","8,495.00","8,280.00","8,326.00","8,491.00","8,482.50","8,413.65","12,774.00","7,089.35","4,83,122","4,06,48,19,656.50","54,407"
"15-May-2025","EQ","8,135.00","8,366.00","8,077.00","8,102.50","8,335.00","8,326.00","8,241.18","12,774.00","7,089.35","4,97,959","4,10,37,68,627.50","85,429"
"14-May-2025","EQ","8,090.00","8,208.00","8,032.00","8,063.00","8,095.50","8,102.50","8,116.62","12,774.00","7,089.35","2,25,717","1,83,20,59,578.50","35,513"
"13-May-2025","EQ","8,039.50","8,109.00","7,950.00","8,039.50","8,066.50","8,063.00","8,028.45","12,774.00","7,089.35","4,07,395","3,27,07,50,990.50","57,904"
"12-May-2025","EQ","7,800.00","8,048.50","7,778.00","7,682.50","8,047.00","8,039.50","7,966.31","12,774.00","7,089.35","2,96,774","2,36,41,93,872.50","40,508"
"09-May-2025","EQ","7,620.00","7,743.50","7,612.00","7,724.50","7,711.50","7,682.50","7,678.94","12,774.00","7,089.35","2,48,982","1,91,19,17,845.00","47,790"
"08-May-2025","EQ","7,850.50","7,869.50","7,670.00","7,849.00","7,670.50","7,724.50","7,761.57","12,774.00","7,089.35","4,61,725","3,58,37,10,007.50","70,938"
"07-May-2025","EQ","7,915.50","7,978.00","7,811.50","7,945.50","7,845.00","7,849.00","7,881.46","12,774.00","7,089.35","4,59,640","3,62,26,32,470.00","55,124"
"06-May-2025","EQ","7,930.00","8,044.00","7,910.00","7,920.50","7,926.50","7,945.50","7,996.40","12,774.00","7,089.35","2,70,568","2,16,35,68,678.00","39,935"
"05-May-2025","EQ","7,869.50","7,964.50","7,850.00","7,836.50","7,905.00","7,920.50","7,905.66","12,774.00","7,089.35","2,50,175","1,97,77,97,592.00","36,482"
"02-May-2025","EQ","8,000.00","8,086.00","7,803.00","8,030.00","7,809.00","7,836.50","7,903.49","12,774.00","7,089.35","4,55,898","3,60,31,86,356.00","74,875"
"30-Apr-2025","EQ","8,060.00","8,077.50","7,977.50","8,078.50","8,015.00","8,030.00","8,014.86","12,774.00","7,089.35","4,47,067","3,58,31,77,578.50","39,138"
"29-Apr-2025","EQ","8,136.50","8,169.50","8,020.00","8,096.00","8,088.50","8,078.50","8,075.88","12,774.00","7,089.35","2,28,383","1,84,43,93,203.50","31,599"
"28-Apr-2025","EQ","8,034.00","8,134.50","7,971.00","8,034.00","8,097.50","8,096.00","8,061.90","12,774.00","7,089.35","2,82,481","2,27,73,34,633.50","30,651"
"25-Apr-2025","EQ","8,225.00","8,259.50","7,965.00","8,201.50","8,010.50","8,034.00","8,059.68","12,774.00","7,089.35","5,08,224","4,09,61,22,973.00","51,578"
"24-Apr-2025","EQ","8,260.00","8,328.00","8,169.00","8,261.50","8,215.00","8,201.50","8,239.63","12,774.00","7,089.35","3,22,100","2,65,39,85,823.00","44,141"
"23-Apr-2025","EQ","8,111.00","8,294.50","8,051.00","8,141.00","8,229.00","8,261.50","8,168.07","12,774.00","7,089.35","5,98,686","4,89,01,08,515.00","59,699"
"22-Apr-2025","EQ","8,186.00","8,186.50","8,075.00","8,247.50","8,135.00","8,141.00","8,122.72","12,774.00","7,089.35","3,94,636","3,20,55,19,014.50","43,964"
"21-Apr-2025","EQ","8,010.00","8,275.00","7,950.00","8,018.00","8,230.00","8,247.50","8,168.65","12,774.00","7,089.35","2,85,132","2,32,91,43,461.00","45,682"